Muestra;Estacion;MuestraNew;X;Y;Z;Formacion Geologica;Unidad;Litologia;Abreviacion;Uni-Lito;Agua [%];Porosidad [%];Densidad [gr/cm3];Rho Dry [Ohm*m];Rho Wet [Ohm*m];M Dry [mV/V];M Wet [mV/V];Vp [m/s];Peak Load [kN];Is50 [MPa];LF [SI];HF [SI];FD [%];Distancia Falla [m];
LSS-71c;LSS-71;LSS-71c;1105311.78;1239752.84;1322.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];1.51;3.64;2.76;1470.42;643.17;4.00;8.04;4684.00;4.70;3.01;2.37E-04;2.37E-04;0.05;167.72;
LSS-72a;LSS-72;LSS-72a;1105211.10;1240503.71;1306.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];4.08;13.47;2.74;103799.47;624.41;8.93;5.04;5191.00;6.70;7.08;1.65E-04;1.34E-04;18.44;162.54;
LSS-72b;LSS-72;LSS-72b;1105211.10;1240503.71;1306.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];4.00;6.51;2.64;120122.78;702.25;8.58;5.66;3571.00;6.80;5.21;1.30E-04;9.66E-05;25.65;162.54;
LSS-72c;LSS-72;LSS-72c;1105211.10;1240503.71;1306.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];5.15;9.63;2.59;64666.72;547.31;6.16;6.07;1790.00;4.40;5.02;1.75E-04;1.20E-04;31.27;162.54;
LSS-73a;LSS-73;LSS-73a;1104332.24;1239836.35;1336.00;Fm. Paja;K1p;biomicrita;Bm;K1p [Bm];2.31;3.81;2.77;85513.88;2318.32;9.53;8.09;1267.00;3.60;4.02;7.89E-05;5.86E-05;25.71;290.07;
LSS-73b;LSS-73;LSS-73b;1104332.24;1239836.35;1336.00;Fm. Paja;K1p;biomicrita;Bm;K1p [Bm];2.78;5.15;2.76;222953.81;1820.32;17.95;8.81;2059.00;4.30;4.81;9.69E-05;7.20E-05;25.69;290.07;
LSS-74a;LSS-74;LSS-74a;1104788.97;1240191.17;1288.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.53;0.20;2.71;240314.68;6306.36;14.62;3.09;4866.00;4.60;5.22;7.56E-05;6.75E-05;10.71;265.83;
LSS-74b;LSS-74;LSS-74b;1104788.97;1240191.17;1288.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.50;0.10;2.77;75531.34;3264.79;9.95;3.65;5462.00;5.00;5.76;8.03E-05;6.13E-05;23.66;265.83;
LSS-75a;LSS-75;LSS-75a;1104486.53;1241596.10;1279.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];17.12;7.41;2.24;11314.34;87.68;8.89;5.13;4121.00;1.80;1.99;7.27E-06;7.97E-06;-9.73;697.04;
LSS-75b;LSS-75;LSS-75b;1104486.53;1241596.10;1279.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];13.28;6.25;2.30;30965.81;319.00;9.38;5.07;5155.00;4.90;5.57;6.35E-06;5.53E-06;12.97;697.04;
LSS-75c;LSS-75;LSS-75c;1104486.53;1241596.10;1279.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];19.13;1.05;1.96;8144.93;271.06;4.75;4.35;5685.00;0.50;0.50;7.07E-06;4.55E-06;35.65;697.04;
LSS-76a;LSS-76;LSS-76a;1102121.95;1240645.11;1318.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];2.73;1.38;2.63;78583.73;3250.51;6.76;4.13;4692.00;4.50;5.05;1.12E-04;9.94E-05;10.98;764.15;
LSS-76b;LSS-76;LSS-76b;1102121.95;1240645.11;1318.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];5.60;8.20;2.66;32514.81;1768.59;7.89;5.11;5393.00;5.00;3.60;1.41E-04;1.24E-04;11.85;764.15;
LSS-76c;LSS-76;LSS-76c;1102121.95;1240645.11;1318.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];5.76;1.43;2.42;80206.67;2221.70;11.59;5.50;5093.00;4.00;4.05;2.32E-04;2.25E-04;3.11;764.15;
LSS-77a;LSS-77;LSS-77a;1101893.72;1240805.04;1318.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];0.67;1.28;2.64;1520721.64;3141.68;79.03;2.32;4812.00;3.00;3.38;3.00E-05;1.05E-05;64.86;918.79;
LSS-77b;LSS-77;LSS-77b;1101893.72;1240805.04;1318.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];0.56;0.20;2.60;863528.61;5646.77;40.10;2.53;5305.00;4.30;4.93;2.28E-05;8.04E-06;64.76;918.79;
LSS-77c;LSS-77;LSS-77c;1101893.72;1240805.04;1318.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];0.35;0.10;2.58;162796.64;8724.49;15.14;2.93;5181.00;5.10;4.10;1.15E-05;4.02E-06;65.09;918.79;
LSS-78a;LSS-78;LSS-78a;1101336.42;1242118.74;1258.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];3.53;7.87;2.68;127366.73;3492.62;7.34;10.38;4785.00;2.20;2.42;1.35E-05;1.57E-05;-16.04;215.05;
LSS-78b;LSS-78;LSS-78b;1101336.42;1242118.74;1258.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];1.71;5.14;2.69;225497.95;2060.40;7.94;6.55;3249.00;2.20;2.45;6.84E-06;2.85E-06;58.34;215.05;
LSS-78c;LSS-78;LSS-78c;1101336.42;1242118.74;1258.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];2.58;1.24;2.65;82629.29;2807.53;3.77;7.06;5142.00;2.90;2.96;4.23E-06;5.96E-06;-40.97;215.05;
