Muestra;Estacion;MuestraNew;X;Y;Z;Formacion Geologica;Unidad;Litologia;Abreviacion;Uni-Lito;Agua [%];Porosidad [%];Densidad [gr/cm3];Rho Dry [Ohm*m];Rho Wet [Ohm*m];M Dry [mV/V];M Wet [mV/V];Vp [m/s];Peak Load [kN];Is50 [MPa];LF [SI];HF [SI];FD [%];Distancia Falla [m];
LSN-60a;LSN-60;LSN-60a;1099725.20;1254644.77;719.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];5.91;0.30;2.67;22091.67;3148.81;10.21;3.85;3971.00;4.32;4.97;1.96E-04;1.75E-04;10.85;526.82;
LSN-60b;LSN-60;LSN-60b;1099725.20;1254644.77;719.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.81;0.42;2.66;25876.35;1274.58;7.50;3.08;3215.00;2.72;3.13;2.11E-04;1.97E-04;6.49;526.82;
LSN-60c;LSN-60;LSN-60c;1099725.20;1254644.77;719.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];1.60;0.17;2.52;23353.76;1960.80;7.71;3.38;4035.00;3.92;4.48;1.81E-04;1.55E-04;14.53;526.82;
LSN-60d;LSN-60;LSN-60d;1099725.20;1254644.77;719.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];3.04;0.49;2.54;3761.79;474.62;8.43;11.92;2809.00;5.72;6.54;8.36E-05;7.87E-05;5.91;526.82;
LSN-60e;LSN-60;LSN-60e;1099725.20;1254644.77;719.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];1.50;0.61;2.49;1664.79;154.27;3.31;9.20;761.00;6.82;7.79;4.16E-05;3.15E-05;24.36;526.82;
LSN-60f;LSN-60;LSN-60f;1099725.20;1254644.77;719.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];3.00;1.73;2.43;14814.28;574.72;4.49;7.23;766.00;7.32;8.31;3.38E-05;3.18E-05;5.73;526.82;
LSN-60g;LSN-60;LSN-60g;1099725.20;1254644.77;719.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];2.83;2.54;2.33;11090.69;329.80;4.04;8.04;1220.00;6.52;7.41;2.68E-05;1.77E-05;33.77;526.82;
LSN-61a;LSN-61;LSN-61a;1099899.14;1254380.04;779.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];1.06;0.13;2.57;252218.28;3330.29;18.84;3.07;4025.00;3.82;4.39;4.24E-06;4.30E-06;-1.27;505.15;
LSN-61b;LSN-61;LSN-61b;1099899.14;1254380.04;779.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];1.64;0.50;2.46;167560.81;2650.01;18.90;6.19;1373.00;3.72;4.23;2.20E-06;1.28E-06;41.64;505.15;
LSN-62;LSN-62;LSN-62;1100438.56;1255525.40;852.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];3.71;3.67;2.24;2369.20;604.94;2.37;7.69;972.00;2.82;3.18;8.84E-06;1.95E-06;77.99;4.83;
LSN-63a;LSN-63;LSN-63a;1115095.80;1259750.99;1164.00;Granito de Pescadero;J1gp;granito;Gr;J1gp [Gr];4.97;1.93;2.41;44516.634;593.645;11.184;11.802;2563.00;0.22;0.25;5.44E-05;4.17E-05;23.34;853.64;
LSN-63b;LSN-63;LSN-63b;1115095.80;1259750.99;1164.00;Granito de Pescadero;J1gp;granito;Gr;J1gp [Gr];4.26;1.05;2.46;13600.94;522.33;9.80;14.06;903.00;0.92;1.05;7.43E-05;4.42E-05;40.57;853.64;
LSN-64a;LSN-64;LSN-64a;1114886.21;1258144.82;1389.00;Silgara;Oss;esquisto;Es;Oss [Es];3.61;0.84;2.43;86595.05;5689.19;16.82;10.17;2234.00;2.32;3.20;5.54E-04;5.63E-04;-1.48;127.99;
LSN-64b;LSN-64;LSN-64b;1114886.21;1258144.82;1389.00;Silgara;Oss;esquisto;Es;Oss [Es];4.28;0.18;2.45;170511.04;2293.75;30.47;7.27;1661.00;1.32;2.06;5.43E-04;5.45E-04;-0.42;127.99;
LSN-65a;LSN-65;LSN-65a;1115000.85;1257730.96;1420.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];1.89;0.40;2.56;4273.88;468.07;3.07;7.40;2574.00;4.62;5.25;6.36E-06;8.98E-06;-41.06;279.75;
LSN-65b;LSN-65;LSN-65b;1115000.85;1257730.96;1420.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];2.21;0.35;2.54;3106.31;354.62;2.91;7.77;2694.00;6.52;7.41;6.08E-06;1.27E-06;79.10;279.75;
LSN-65c;LSN-65;LSN-65c;1115000.85;1257730.96;1420.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];2.41;4.50;2.42;8352.80;810.47;4.35;10.85;1023.00;5.92;6.68;4.90E-05;1.63E-05;66.84;279.75;
LSN-65d;LSN-65;LSN-65d;1115000.85;1257730.96;1420.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];2.05;0.67;2.40;8976.50;742.39;5.89;11.56;2423.00;7.02;7.97;6.92E-05;4.71E-05;31.91;279.75;
LSN-66a;LSN-66;LSN-66a;1114894.64;1257649.26;1473.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];4.80;7.46;2.55;2314.70;408.88;6.02;14.03;3678.00;1.52;1.73;5.68E-05;6.02E-05;-6.02;306.19;
LSN-66b;LSN-66;LSN-66b;1114894.64;1257649.26;1473.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];5.20;5.02;2.47;2248.94;417.68;3.80;13.26;3524.00;1.12;1.26;4.42E-05;3.44E-05;22.07;306.19;
LSN-66c;LSN-66;LSN-66c;1114894.64;1257649.26;1473.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];4.51;0.83;2.38;2259.95;372.15;3.59;12.72;2087.00;1.72;1.94;4.24E-05;3.81E-05;10.11;306.19;
LSN-66d;LSN-66;LSN-66d;1114894.64;1257649.26;1473.00;Fm. Jordan;J1-2j;conglomerado;Cg;J1-2j [Cg];4.46;0.47;2.21;3171.22;416.06;7.67;14.81;1017.00;1.32;1.49;4.68E-05;3.08E-05;34.21;306.19;
LSN-66e;LSN-66;LSN-66e;1114894.64;1257649.26;1473.00;Granito de Pescadero;J1-2j;arenisca;Ar;J1-2j [Ar];3.47;0.61;2.46;8860.93;1017.05;8.54;20.48;2154.00;1.12;1.26;1.52E-05;5.21E-06;65.77;306.19;
LSN-66f;LSN-66;LSN-66f;1114894.64;1257649.26;1473.00;Granito de Pescadero;J1-2j;arenisca;Ar;J1-2j [Ar];2.55;0.44;2.46;13047.73;999.41;8.69;20.52;1320.00;4.32;4.91;1.16E-05;1.37E-05;-18.00;306.19;
LSN-66g;LSN-66;LSN-66g;1114894.64;1257649.26;1473.00;Granito de Pescadero;J1-2j;arenisca;Ar;J1-2j [Ar];3.07;0.38;2.40;12630.13;984.27;7.59;21.01;2497.00;4.02;4.57;8.82E-06;9.72E-06;-10.13;306.19;
LSN-67a;LSN-67;LSN-67a;1115472.04;1256693.16;1627.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.49;5.01;2.56;31905.37;612.63;12.75;18.16;2040.00;2.92;3.30;2.24E-05;3.33E-06;85.13;7.54;
LSN-67b;LSN-67;LSN-67b;1115472.04;1256693.16;1627.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.05;6.38;2.62;131587.50;941.14;13.78;15.30;2070.00;3.62;4.11;1.38E-05;9.12E-06;33.83;7.54;
LSN-67c;LSN-67;LSN-67c;1115472.04;1256693.16;1627.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.46;4.76;2.57;109526.66;1137.20;12.95;19.50;1763.00;3.82;4.34;1.12E-05;3.70E-06;67.11;7.54;
LSN-68;LSN-68;LSN-68;1115676.69;1256695.71;1606.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.78;3.25;2.44;2291.54;198.75;6.14;15.05;3106.00;2.52;2.81;2.98E-05;1.93E-05;35.28;75.44;
LSN-69;LSN-69;LSN-69;1114457.42;1258216.39;1408.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.85;0.51;2.46;125.59;81.15;4.76;6.35;953.00;0.72;0.81;2.93E-04;2.49E-04;14.83;291.58;
LSN-70a;LSN-70;LSN-70a;1114579.66;1258103.27;1423.00;Silgara;Oss;esquisto;Es;Oss [Es];2.30;2.79;2.67;2258.81;749.67;7.62;9.31;3682.00;0.62;0.70;3.28E-04;3.01E-04;8.09;176.50;
LSN-70b;LSN-70;LSN-70b;1114579.66;1258103.27;1423.00;Silgara;Oss;esquisto;Es;Oss [Es];3.68;3.65;2.63;4557.40;1138.99;7.95;8.22;1851.00;1.12;1.26;2.20E-04;1.92E-04;12.65;176.50;
LSN-70c;LSN-70;LSN-70c;1114579.66;1258103.27;1423.00;Silgara;Oss;esquisto;Es;Oss [Es];2.98;0.86;2.59;1668.48;523.47;4.24;8.00;794.00;1.32;1.50;3.01E-04;2.90E-04;3.75;176.50;
LSN-71a;LSN-71;LSN-71a;1115777.95;1247868.71;1742.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.65;4.19;2.56;14011.37;730.83;3.60;16.79;3248.00;2.12;2.39;3.11E-05;4.26E-06;86.34;198.60;
LSN-71b;LSN-71;LSN-71b;1115777.95;1247868.71;1742.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.16;0.94;2.40;10548.54;746.41;3.11;17.88;3357.00;1.62;1.82;2.18E-05;1.81E-05;16.95;198.60;
LSN-71c;LSN-71;LSN-71c;1115777.95;1247868.71;1742.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.91;0.54;2.39;8056.40;560.62;2.47;16.48;3409.00;2.02;2.28;2.12E-05;3.22E-05;-51.99;198.60;
LSN-72a;LSN-72;LSN-72a;1116020.61;1247773.73;1668.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.64;3.11;2.44;13758.46;699.60;13.49;21.84;1895.00;1.12;1.27;4.82E-05;3.43E-05;28.72;192.49;
LSN-72b;LSN-72;LSN-72b;1116020.61;1247773.73;1668.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.22;0.90;2.48;13089.56;772.99;7.69;16.78;1970.00;0.92;1.04;4.13E-05;5.73E-05;-38.87;192.49;
LSN-72c;LSN-72;LSN-72c;1116020.61;1247773.73;1668.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.43;1.51;2.44;14477.22;968.46;6.09;17.63;2543.00;0.82;1.15;6.45E-05;7.56E-05;-17.27;192.49;
LSN-73a;LSN-73;LSN-73a;1115927.18;1247779.67;1646.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.45;3.62;2.50;331433.54;2291.39;16.06;11.64;2818.00;5.22;5.93;9.48E-07;2.12E-07;77.66;166.49;
LSN-73b;LSN-73;LSN-73b;1115927.18;1247779.67;1646.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];1.82;1.01;2.50;327736.91;2121.51;14.44;11.48;4472.00;6.42;7.29;1.56E-06;1.26E-06;19.49;166.49;
LSN-74a;LSN-74;LSN-74a;1116182.80;1247181.34;1514.00;Silgara;Oss;esquisto;Es;Oss [Es];2.90;0.12;2.50;1941338.80;8715.64;89.94;6.83;3148.00;1.02;1.15;1.21E-02;1.21E-02;-0.01;306.90;
LSN-74b;LSN-74;LSN-74b;1116182.80;1247181.34;1514.00;Silgara;Oss;esquisto;Es;Oss [Es];3.26;0.30;2.55;2793018.58;13291.98;88.65;3.77;2044.00;2.22;4.40;1.59E-02;1.61E-02;-1.33;306.90;
LSN-74c;LSN-74;LSN-74c;1116182.80;1247181.34;1514.00;Silgara;Oss;esquisto;Es;Oss [Es];2.94;0.26;2.59;2000987.18;4803.06;52.44;2.90;1332.00;1.72;1.94;1.07E-02;1.08E-02;-1.11;306.90;
LSN-75;LSN-75;LSN-75;1116387.99;1246897.45;1473.00;Silgara;Oss;esquisto;Es;Oss [Es];5.15;0.00;2.56;4299.98;714.22;4.56;10.11;754.00;0.72;0.82;5.92E-03;5.79E-03;2.29;448.40;
LSN-76a;LSN-76;LSN-76a;1116045.79;1246468.65;1375.00;Silgara;Oss;metaarenisca;Ma;Oss [Ma];3.41;1.14;3.36;1628.78;571.49;3.78;8.02;2798.00;0.62;0.70;2.14E-04;2.01E-04;6.00;990.86;
LSN-76b;LSN-76;LSN-76b;1116045.79;1246468.65;1375.00;Silgara;Oss;metaarenisca;Ma;Oss [Ma];2.21;6.06;2.05;1248.44;461.01;3.78;7.47;3051.00;2.92;2.84;2.30E-04;2.18E-04;5.23;990.86;
LSN-77;LSN-77;LSN-77;1115103.65;1245400.08;1291.00;Silgara;Oss;metaarenisca;Ma;Oss [Ma];2.77;6.29;2.61;3640.05;703.74;2.55;8.40;974.00;0.42;0.47;5.37E-05;4.84E-05;9.86;1168.62;
LSN-78;LSN-78;LSN-78;1114665.18;1244528.87;1278.00;Silgara;Oss;esquisto;Es;Oss [Es];2.23;0.50;2.72;5931.98;1422.75;8.93;8.46;5926.00;0.72;0.82;8.24E-04;8.60E-04;-4.34;203.92;
LSN-79a;LSN-79;LSN-79a;1109981.05;1243022.06;1654.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];8.56;1.25;2.24;18192.84;927.60;8.63;10.16;1756.00;0.32;0.37;4.40E-06;3.87E-06;12.06;448.98;
LSN-79b;LSN-79;LSN-79b;1109981.05;1243022.06;1654.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];1.86;0.15;2.51;17297.90;1048.45;10.29;12.92;3025.00;5.62;6.31;2.35E-05;2.95E-05;-25.87;448.98;
LSN-79c;LSN-79;LSN-79c;1109981.05;1243022.06;1654.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.43;0.64;2.54;15469.94;1115.15;8.83;13.24;4184.00;6.22;7.02;2.24E-05;2.04E-05;9.13;448.98;
LSN-80a;LSN-80;LSN-80a;1109897.30;1242710.40;1585.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.90;0.11;2.51;109195.23;737.38;12.38;11.96;4061.00;0.62;0.71;6.50E-06;1.69E-06;73.98;231.90;
LSN-80b;LSN-80;LSN-80b;1109897.30;1242710.40;1585.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.48;0.07;2.55;144211.46;1338.67;11.88;14.75;2114.00;2.62;2.99;1.05E-05;1.85E-05;-75.69;231.90;
LSN-81a;LSN-81;LSN-81a;1110563.08;1242647.83;1465.00;Fm. Los Santos;K1ls_mm;lodolita;Ld;K1ls_mm [Ld];12.55;0.00;2.10;88.20;43.57;4.62;8.01;1872.00;0.02;0.02;1.72E-04;1.70E-04;1.30;31.50;
LSN-81b;LSN-81;LSN-81b;1110563.08;1242647.83;1465.00;Fm. Los Santos;K1ls_mm;lodolita;Ld;K1ls_mm [Ld];8.24;0.00;2.03;69.02;60.50;4.55;5.71;884.00;0.12;0.18;2.08E-04;2.03E-04;2.36;31.50;
LSN-82a;LSN-82;LSN-82a;1110261.72;1242293.57;1384.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.55;0.00;2.57;739.10;329.82;3.13;5.24;3681.00;5.22;5.93;2.65E-04;2.42E-04;8.79;174.44;
LSN-82b;LSN-82;LSN-82b;1110261.72;1242293.57;1384.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.52;0.00;2.47;614.10;340.78;3.40;4.92;2009.00;0.22;0.25;2.67E-04;2.63E-04;1.62;174.44;
LSN-82c;LSN-82;LSN-82c;1110261.72;1242293.57;1384.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.46;0.10;2.52;630.92;327.60;3.16;5.16;2785.00;12.72;10.07;2.72E-04;2.41E-04;11.06;174.44;
LSN-83;LSN-83;LSN-83;1110161.60;1242708.93;1566.00;Fm. Los Santos;K1ls_mm;lodolita;Ld;K1ls_mm [Ld];12.58;1.00;2.32;2019.47;255.28;3.91;9.89;784.00;0.22;0.32;9.16E-05;9.26E-05;-1.05;247.51;
LSN-84a;LSN-84;LSN-84a;1107720.17;1249552.50;1529.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];1.52;8.21;2.57;11480.29;1058.65;5.64;12.57;1240.00;1.12;1.26;1.82E-05;1.01E-05;44.47;96.72;
LSN-84b;LSN-84;LSN-84b;1107720.17;1249552.50;1529.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];1.70;8.10;2.46;9172.44;1042.13;4.21;10.89;1534.00;0.42;0.48;2.24E-05;3.20E-06;85.73;96.72;
LSN-84c;LSN-84;LSN-84c;1107720.17;1249552.50;1529.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];1.60;6.73;2.45;8778.11;457.14;9.34;13.26;975.00;0.42;0.60;5.28E-05;8.99E-05;-70.23;96.72;
LSN-85a;LSN-85;LSN-85a;1108322.53;1249803.67;1350.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];5.43;0.30;1.79;23.55;46.36;6.63;9.12;863.00;0.02;0.03;2.22E-04;1.97E-04;11.07;315.15;
LSN-85b;LSN-85;LSN-85b;1108322.53;1249803.67;1350.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];5.57;1.23;1.87;21.05;125.88;7.38;10.93;756.00;0.02;0.02;2.28E-04;2.18E-04;4.59;315.15;
LSN-85c;LSN-85;LSN-85c;1108322.53;1249803.67;1350.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];8.63;0.50;1.77;168.18;96.69;3.61;10.31;967.00;0.02;0.03;2.03E-04;1.95E-04;4.21;315.15;
LSN-86a;LSN-86;LSN-86a;1108248.87;1250451.41;1189.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.74;0.00;2.52;738.05;365.48;3.20;5.53;767.00;6.62;7.52;1.14E-04;1.10E-04;2.81;18.42;
LSN-86b;LSN-86;LSN-86b;1108248.87;1250451.41;1189.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.53;1.45;2.58;626.30;280.55;4.85;5.15;3280.00;6.72;7.63;1.26E-04;1.29E-04;-2.39;18.42;
LSN-87;LSN-87;LSN-87;1109094.27;1250636.58;1370.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];6.33;1.69;2.40;117.14;66.80;4.25;5.36;1031.00;1.12;1.28;3.05E-04;2.98E-04;2.30;802.70;
LSN-88a;LSN-88;LSN-88a;1109200.50;1251136.20;1331.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];9.30;5.86;2.46;336.93;128.44;3.05;10.38;1746.00;2.02;2.32;2.42E-04;2.39E-04;1.52;648.62;
LSN-88b;LSN-88;LSN-88b;1109200.50;1251136.20;1331.00;Fm. Jordan;J1-2j;arenisca;Ar;J1-2j [Ar];9.85;3.25;2.34;478.11;140.46;2.94;10.50;1610.00;1.52;1.74;2.24E-04;2.22E-04;0.97;648.62;
LSN-89a;LSN-89;LSN-89a;1108203.75;1251294.22;1146.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];3.58;4.29;2.58;482.02;90.99;5.65;9.09;3065.00;9.22;10.41;1.16E-04;1.18E-04;-1.72;59.46;
LSN-89b;LSN-89;LSN-89b;1108203.75;1251294.22;1146.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];4.42;2.87;2.53;853.68;110.01;6.48;10.30;3021.00;2.82;3.18;9.13E-05;8.73E-05;4.35;59.46;
LSN-90a;LSN-90;LSN-90a;1105942.74;1253787.80;1088.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.05;0.00;2.60;373.56;179.40;2.91;4.19;4516.00;6.62;7.47;2.07E-04;2.11E-04;-1.95;836.02;
LSN-90b;LSN-90;LSN-90b;1105942.74;1253787.80;1088.00;Fm. Jordan;J1-2j;lodolita;Ld;J1-2j [Ld];1.22;0.10;2.54;354.82;187.31;3.27;4.63;4451.00;5.12;5.75;2.35E-04;2.28E-04;3.20;836.02;
LSN-91a;LSN-91;LSN-91a;1107806.92;1252954.20;1444.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];3.09;3.64;2.59;24931.49;1653.50;23.46;21.74;1386.00;2.02;2.34;3.30E-06;4.68E-06;-41.90;937.65;
LSN-91b;LSN-91;LSN-91b;1107806.92;1252954.20;1444.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];3.13;2.34;2.58;42997.456;2859.678;5.912;18.049;2159.00;3.02;3.409561236;5.45E-07;5.46E-07;-0.13;937.65;
LSN-91c;LSN-91;LSN-91c;1107806.92;1252954.20;1444.00;Fm. Los Santos;K1ls_mi;arenisca;Ar;K1ls_mi [Ar];2.66;2.01;2.56;135556.98;2997.76;9.65;16.01;2193.00;4.12;4.65;2.83E-06;1.16E-06;59.07;937.65;
LS1;LSS-01;LSS-01a;1104424.00;1238243.00;1309.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.55;1.37;2.64;11010.60;8444.46;4.01;5.23;3955.00;3.72;2.78;1.83E-04;1.61E-04;11.73;252.62;
LS1b;LSS-01;LSS-01b;1104424.00;1238243.00;1309.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.33;2.45;2.69;10145.14;9444.46;2.74;5.84;1427.00;5.32;4.33;1.03E-04;9.35E-05;9.42;252.62;
LS1-01-01;LSS-02;LSS-02;1101869.57;1246232.58;1083.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];19.87;21.76;2.54;35752.28;189.73;11.37;6.52;2147.00;1.82;1.37;1.26E-05;9.97E-06;20.87;572.59;
LS1-02-01;LSS-03;LSS-03a;1101531.18;1246087.94;1075.00;Fm. Rosablanca;K1r;arenisca;Ar;K1r [Ar];5.07;9.03;2.66;818754.45;3634.26;27.38;5.78;861.00;8.12;4.06;1.81E-04;1.56E-04;13.73;436.41;
LS1-02-01b;LSS-03;LSS-03b;1101531.18;1246087.94;1075.00;Fm. Rosablanca;K1r;arenisca;Ar;K1r [Ar];5.38;11.62;2.65;1395098.84;5522.10;67.07;6.79;1934.00;7.22;2.57;6.73E-05;8.82E-05;-30.90;436.41;
LS1-03-01;LSS-04;LSS-04a;1102311.26;1244211.09;1146.00;Fm. Rosablanca;K1r;arenisca;Ar;K1r [Ar];7.78;15.06;2.67;612851.28;550.71;17.13;4.94;2816.00;4.92;2.84;7.06E-05;6.85E-05;3.03;514.53;
LS1-03-01b;LSS-04;LSS-04b;1102311.26;1244211.09;1146.00;Fm. Rosablanca;K1r;arenisca;Ar;K1r [Ar];8.86;13.40;2.76;589378.17;411.71;18.65;3.07;1091.00;2.22;1.79;3.35E-04;3.24E-04;3.23;514.53;
LS1-04-01;LSS-05;LSS-05;1102620.44;1243795.70;1147.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.44;0.46;2.66;2631.56;1409.05;2.69;6.66;5007.00;12.92;4.90;5.85E-05;6.90E-05;-18.00;273.42;
LS1-05-01;LSS-06;LSS-06a;1103010.33;1243469.20;1130.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.58;1.11;2.60;972.64;529.38;1.67;2.50;2922.00;10.82;5.66;4.06E-05;3.12E-05;23.25;123.73;
LS1-05-02;LSS-06;LSS-06b;1103010.33;1243469.20;1130.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];1.20;0.74;2.60;516.59;302.35;2.75;4.36;3440.00;7.72;3.92;5.84E-05;6.13E-05;-4.95;123.73;
LS1-05-02b;LSS-06;LSS-06c;1103010.33;1243469.20;1130.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];2.63;3.02;2.61;433.39;143.92;2.06;4.12;1315.00;1.12;0.90;7.45E-05;7.92E-05;-6.20;123.73;
LS1-06-01;LSS-07;LSS-07a;1103331.80;1243580.93;1136.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.65;0.19;2.68;37768.18;13122.12;8.46;8.14;2817.00;8.02;3.62;4.54E-04;4.57E-04;-0.63;310.50;
LS1-06-01b;LSS-07;LSS-07b;1103331.80;1243580.93;1136.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.43;0.48;2.67;40224.75;12113.09;7.89;7.80;3562.00;5.92;2.95;4.59E-04;4.36E-04;5.04;310.50;
LS1-06-02;LSS-07;LSS-07c;1103331.80;1243580.93;1136.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.13;2.26;2.70;86769.46;37015.69;3.23;3.65;4857.00;4.02;3.23;2.54E-04;2.35E-04;7.34;310.50;
LS1-06-02b;LSS-07;LSS-07d;1103331.80;1243580.93;1136.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.12;5.00;2.72;87222.62;18133.93;7.61;5.13;5076.00;3.72;2.99;3.27E-04;3.10E-04;5.26;310.50;
LS1-07-01;LSS-08;LSS-08a;1106150.25;1240278.30;1305.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.08;2.67;2.71;38115.28;25584.99;29.27;27.21;2821.00;7.22;3.61;1.39E-04;1.20E-04;13.94;240.86;
LS1-07-01b;LSS-08;LSS-08b;1106150.25;1240278.30;1305.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.55;8.50;2.70;14239.50;11194.38;2.14;2.68;4539.00;4.12;3.32;2.06E-04;1.92E-04;6.64;240.86;
LS1-07-02;LSS-08;LSS-08c;1106150.25;1240278.30;1305.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.35;2.51;2.69;19186.70;17060.83;3.72;2.15;4012.00;6.42;2.30;2.07E-04;1.97E-04;4.92;240.86;
LS1-08-01;LSS-09;LSS-09a;1106119.08;1240293.09;1288.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.36;0.12;2.69;19272.17;6645.53;3.90;4.79;4944.00;11.12;5.91;1.26E-04;1.24E-04;1.95;263.18;
LS1-08-01b;LSS-09;LSS-09b;1106119.08;1240293.09;1288.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.27;4.19;2.66;15186.70;13060.83;3.27;3.52;4798.00;6.32;5.10;9.05E-05;8.93E-05;1.31;263.18;
LS1-09-01;LSS-10;LSS-10;1106212.48;1239560.56;1274.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];1.01;1.88;2.63;16412.50;1069.68;7.31;7.33;2837.00;6.72;2.53;6.17E-05;5.33E-05;13.50;0.02;
LS1-10-01;LSS-11;LSS-11;1106732.03;1239074.16;1274.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];0.56;0.74;2.68;122772.72;17385.51;21.07;5.87;4500.00;4.72;2.32;1.34E-04;1.19E-04;11.16;50.76;
LS1-11-01;LSS-12;LSS-12;1105455.21;1242654.81;1200.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.87;2.54;2.57;27794.60;2102.90;3.53;7.54;2831.00;8.62;4.25;5.23E-06;1.29E-06;75.22;188.95;
