X,Z,coorX,coorY,coorZ,formacion,corte
3340.056157,704.7980841,1102143.647,1255224.135,704.7980841,Jordan,B
3236.105376,551.2329672,1102046.929,1255186.037,551.2329672,Jordan,B
3096.567842,388.3392518,1101917.101,1255134.896,388.3392518,Jordan,B
2867.855314,211.4262119,1101704.303,1255051.072,211.4262119,Jordan,B
2901.360971,113.7765299,1101735.477,1255063.352,113.7765299,Jordan,B
3031.845735,81.31472459,1101856.883,1255111.175,81.31472459,Jordan,B
3349.629201,76.89817491,1102152.554,1255227.643,76.89817491,Jordan,B
3663.042365,67.82723594,1102444.159,1255342.51,67.82723594,Jordan,B
4047.420927,86.71566603,1102801.792,1255483.385,86.71566603,Jordan,B
4360.313816,100.9001569,1103092.913,1255598.06,100.9001569,Jordan,B
4718.782724,77.90899331,1103426.438,1255729.44,77.90899331,Jordan,B
5063.412338,73.51226361,1103747.088,1255855.747,73.51226361,Jordan,B
5393.474275,120.2675696,1104054.183,1255976.715,120.2675696,Jordan,B
4943.020894,254.8187299,1103635.073,1255811.623,254.8187299,Jordan,B
4596.310183,352.237179,1103312.488,1255684.553,352.237179,Jordan,B
4463.640268,282.3717896,1103189.049,1255635.93,282.3717896,Jordan,B
4285.706499,235.7287968,1103023.497,1255570.717,235.7287968,Jordan,B
4341.792055,328.7934594,1103075.68,1255591.272,328.7934594,Jordan,B
4438.250888,417.236766,1103165.427,1255626.624,417.236766,Jordan,B
4554.584194,617.3226526,1103273.665,1255669.261,617.3226526,Jordan,B
4635.746965,789.4755967,1103349.18,1255699.007,789.4755967,Jordan,B
4378.003138,710.2155422,1103109.371,1255604.544,710.2155422,Jordan,B
4321.085143,454.3595673,1103056.414,1255583.683,454.3595673,Jordan,B
4102.569989,421.6401024,1102853.103,1255503.597,421.6401024,Jordan,B
4158.135271,537.9601949,1102904.802,1255523.962,537.9601949,Jordan,B
4113.807911,719.3228177,1102863.559,1255507.716,719.3228177,Jordan,B
3960.327029,779.6746222,1102720.758,1255451.465,779.6746222,Jordan,B
3741.291601,770.2105872,1102516.963,1255371.188,770.2105872,Jordan,B
3598.008093,774.7559666,1102383.65,1255318.674,774.7559666,Jordan,B
3477.408539,765.3646048,1102271.442,1255274.474,765.3646048,Jordan,B
3237.770254,676.8155917,1102048.478,1255186.647,676.8155917,Jordan,B
3137.565447,555.81138,1101955.246,1255149.922,555.81138,Jordan,B
3002.190107,406.8742258,1101829.29,1255100.306,406.8742258,Jordan,B
3093.758362,313.918573,1101914.487,1255133.866,313.918573,Jordan,B
3167.949459,197.694277,1101983.516,1255161.057,197.694277,Jordan,B
3362.740111,290.8613428,1102164.752,1255232.448,290.8613428,Jordan,B
3331.73177,476.8849616,1102135.902,1255221.084,476.8849616,Jordan,B
3480.738294,616.5298538,1102274.54,1255275.695,616.5298538,Jordan,B
3717.983318,612.0538442,1102495.277,1255362.645,612.0538442,Jordan,B
3950.962094,598.2723594,1102712.045,1255448.032,598.2723594,Jordan,B
4178.634074,621.696259,1102923.875,1255531.475,621.696259,Jordan,B
3971.564952,477.3573375,1102731.214,1255455.583,477.3573375,Jordan,B
3914.126683,244.7567925,1102677.772,1255434.532,244.7567925,Jordan,B
4004.23817,216.9163432,1102761.614,1255467.558,216.9163432,Jordan,B
3890.298125,309.8554794,1102655.602,1255425.799,309.8554794,Jordan,B
3639.421918,323.6237509,1102422.182,1255333.853,323.6237509,Jordan,B
3564.398381,277.0567347,1102352.379,1255306.356,277.0567347,Jordan,B
3482.299116,346.7635643,1102275.992,1255276.267,346.7635643,Jordan,B
3409.981006,579.2683128,1102208.706,1255249.762,579.2683128,Jordan,B
3480.21802,639.7852837,1102274.056,1255275.504,639.7852837,Jordan,B
3676.361384,672.4882319,1102456.551,1255347.391,672.4882319,Jordan,B
3893.211661,779.6250723,1102658.313,1255426.867,779.6250723,Jordan,B
4210.995128,775.2085226,1102953.984,1255543.335,775.2085226,Jordan,B
4393.611363,812.5526468,1103123.893,1255610.264,812.5526468,Jordan,B
3738.586176,491.1388224,1102514.446,1255370.196,491.1388224,Jordan,B
3640.150301,491.0661491,1102422.86,1255334.12,491.0661491,Jordan,B
3638.17326,579.4367826,1102421.02,1255333.395,579.4367826,Jordan,B
3396.141713,397.8627467,1102195.83,1255244.69,397.8627467,Jordan,B
3252.962259,397.7570402,1102062.613,1255192.215,397.7570402,Jordan,B
3427.045999,216.4902139,1102224.584,1255256.017,216.4902139,Jordan,B
3522.048063,170.0487241,1102312.975,1255290.835,170.0487241,Jordan,B
3791.029813,146.9914939,1102563.241,1255389.417,146.9914939,Jordan,B
