Linea;Arreglo;X;Y;Z;Resistivity
TRE01;Gradiente;781,26;1562,37;-34,45;18,4
TRE01;Gradiente;745,16;1575,94;81,55;54,52
TRE01;Gradiente;727,11;1582,72;8,82;17,68
TRE01;Gradiente;898,56;1518,27;-9,01;18,86
TRE01;Gradiente;718,09;1586,12;9,08;16,53
TRE01;Gradiente;889,54;1521,66;-8,76;19,62
TRE01;Gradiente;880,52;1525,06;-8,49;19,95
TRE01;Gradiente;871,49;1528,45;-8,18;19,96
TRE01;Gradiente;862,47;1531,84;-7,85;19,94
TRE01;Gradiente;925,63;1508,09;-9,71;14,52
TRE01;Gradiente;853,44;1535,23;-7,58;19,91
TRE01;Gradiente;835,4;1542,02;-7,05;19,78
TRE01;Gradiente;826,37;1545,41;-6,77;19,75
TRE01;Gradiente;817,35;1548,8;-6,5;19,75
TRE01;Gradiente;808,33;1552,19;-6,25;19,77
TRE01;Gradiente;799,3;1555,59;-6,01;19,79
TRE01;Gradiente;790,28;1558,98;-5,77;19,8
TRE01;Gradiente;781,26;1562,37;-5,51;19,77
TRE01;Gradiente;907,59;1514,88;-9,24;17,76
TRE01;Gradiente;916,61;1511,49;-9,47;16,3
TRE01;Gradiente;934,66;1504,7;-9,96;13,72
TRE01;Gradiente;763,21;1569,15;-4,97;19,41
TRE01;Gradiente;745,16;1575,94;-18,21;17,0
TRE01;Gradiente;736,14;1579,33;-17,93;16,24
TRE01;Gradiente;727,11;1582,72;-17,65;15,33
TRE01;Gradiente;718,09;1586,12;-17,38;14,38
TRE01;Gradiente;709,07;1589,51;-17,11;13,64
TRE01;Gradiente;772,23;1565,76;-5,24;19,67
TRE01;Gradiente;763,21;1569,15;-18,78;18,22
TRE01;Gradiente;844,42;1538,62;-7,32;19,85
TRE01;Gradiente;700,04;1592,9;-16,84;13,02
TRE01;Gradiente;663,95;1606,47;-15,8;11,71
TRE01;Gradiente;654,92;1609,86;-15,53;11,7
TRE01;Gradiente;645,9;1613,25;-15,26;11,75
TRE01;Gradiente;961,73;1494,53;-10,87;9,69
TRE01;Gradiente;952,7;1497,92;-10,49;11,85
TRE01;Gradiente;691,02;1596,29;-16,58;12,48
TRE01;Gradiente;681,99;1599,68;-16,32;12,04
TRE01;Gradiente;672,97;1603,08;-16,06;11,76
TRE01;Gradiente;754,18;1572,55;-4,68;18,9
TRE01;Gradiente;943,68;1501,31;-10,21;13,16
TRE01;Gradiente;925,63;1508,09;2,96;14,51
TRE01;Gradiente;880,52;1525,06;4,16;20,3
TRE01;Gradiente;871,49;1528,45;4,48;20,29
TRE01;Gradiente;916,61;1511,49;3,2;16,16
TRE01;Gradiente;907,59;1514,88;3,42;17,66
TRE01;Gradiente;862,47;1531,84;4,8;20,24
TRE01;Gradiente;844,42;1538,62;5,29;19,96
TRE01;Gradiente;889,54;1521,66;3,89;19,87
TRE01;Gradiente;934,66;1504,7;2,7;13,48
TRE01;Gradiente;835,4;1542,02;5,56;19,84
TRE01;Gradiente;898,56;1518,27;3,65;18,91
TRE01;Gradiente;817,35;1548,8;6,15;19,86
TRE01;Gradiente;808,33;1552,19;6,42;19,94
TRE01;Gradiente;799,3;1555,59;6,66;20,21
TRE01;Gradiente;790,28;1558,98;6,9;20,68
TRE01;Gradiente;853,44;1535,23;5,05;20,16
TRE01;Gradiente;772,23;1565,76;-19,05;18,62
TRE01;Gradiente;826,37;1545,41;5,86;19,83
TRE01;Gradiente;754,18;1572,55;-18,5;17,66
TRE01;Gradiente;700,04;1592,9;-3,04;13,22
TRE01;Gradiente;654,92;1609,86;-1,75;11,4
TRE01;Gradiente;736,14;1579,33;-4,11;17,24
TRE01;Gradiente;727,11;1582,72;-3,84;16,24
TRE01;Gradiente;718,09;1586,12;-3,57;15,19
TRE01;Gradiente;709,07;1589,51;-3,3;14,14
TRE01;Gradiente;691,02;1596,29;-2,78;12,59
TRE01;Gradiente;681,99;1599,68;-2,53;12,1
TRE01;Gradiente;952,7;1497,92;2,13;11,64
TRE01;Gradiente;943,68;1501,31;2,45;12,69
TRE01;Gradiente;961,73;1494,53;1,67;10,42
TRE01;Gradiente;645,9;1613,25;-1,47;11,43
TRE01;Gradiente;636,88;1616,65;-1,19;11,65
TRE01;Gradiente;627,85;1620,04;-0,91;12,09
TRE01;Gradiente;745,16;1575,94;-4,39;18,15
TRE01;Gradiente;975,26;1489,44;0,92;9,69
TRE01;Gradiente;618,83;1623,43;-0,64;13,24
TRE01;Gradiente;993,31;1482,65;0,02;8,44
TRE01;Gradiente;672,97;1603,08;-2,28;11,63
TRE01;Gradiente;799,3;1555,59;18,31;20,31
TRE01;Gradiente;663,95;1606,47;-2,02;11,42
TRE01;Gradiente;781,26;1562,37;-19,32;18,89
TRE01;Gradiente;772,23;1565,76;-50,72;17,91
TRE01;Gradiente;763,21;1569,15;-50,45;17,43
TRE01;Gradiente;754,18;1572,55;-50,18;16,89
TRE01;Gradiente;745,16;1575,94;-49,9;16,25
TRE01;Gradiente;736,14;1579,33;-49,62;15,47
TRE01;Gradiente;727,11;1582,72;-49,35;14,63
TRE01;Gradiente;889,54;1521,66;-54,18;19,02
TRE01;Gradiente;718,09;1586,12;-49,08;13,92
TRE01;Gradiente;700,04;1592,9;-48,54;12,75
TRE01;Gradiente;691,02;1596,29;-48,27;12,27
TRE01;Gradiente;672,97;1603,08;-47,74;12,06
TRE01;Gradiente;907,59;1514,88;-38,16;17,63
TRE01;Gradiente;898,56;1518,27;-37,91;18,56
TRE01;Gradiente;790,28;1558,98;-51,25;18,55
TRE01;Gradiente;709,07;1589,51;-48,82;13,34
TRE01;Gradiente;781,26;1562,37;-50,99;18,28
TRE01;Gradiente;799,3;1555,59;-51,51;18,74
TRE01;Gradiente;808,33;1552,19;-51,76;18,88
TRE01;Gradiente;817,35;1548,8;-52,02;18,98
TRE01;Gradiente;745,16;1575,94;8,27;19,86
TRE01;Gradiente;754,18;1572,55;7,98;20,59
TRE01;Gradiente;763,21;1569,15;7,7;20,93
TRE01;Gradiente;772,23;1565,76;7,42;21,0
TRE01;Gradiente;781,26;1562,37;7,15;20,97
TRE01;Gradiente;790,28;1558,98;29,33;21,12
TRE01;Gradiente;889,54;1521,66;-37,65;19,07
TRE01;Gradiente;880,52;1525,06;-37,39;19,26
TRE01;Gradiente;898,56;1518,27;-54,44;18,54
TRE01;Gradiente;871,49;1528,45;-53,63;19,25
TRE01;Gradiente;862,47;1531,84;-53,35;19,25
TRE01;Gradiente;853,44;1535,23;-53,07;19,24
TRE01;Gradiente;844,42;1538,62;-52,8;19,18
TRE01;Gradiente;835,4;1542,02;-52,54;19,12
TRE01;Gradiente;826,37;1545,41;-52,27;19,06
TRE01;Gradiente;736,14;1579,33;8,55;18,83
TRE01;Gradiente;880,52;1525,06;-53,91;19,2
TRE01;Gradiente;871,49;1528,45;-37,1;19,28
TRE01;Gradiente;862,47;1531,84;-36,8;19,28
TRE01;Gradiente;844,42;1538,62;-36,25;19,21
TRE01;Gradiente;663,95;1606,47;-30,93;11,76
TRE01;Gradiente;925,63;1508,09;-23,53;13,61
TRE01;Gradiente;907,59;1514,88;-23,04;17,79
TRE01;Gradiente;898,56;1518,27;-22,8;18,72
TRE01;Gradiente;889,54;1521,66;-22,55;19,25
TRE01;Gradiente;681,99;1599,68;-31,46;12,12
TRE01;Gradiente;691,02;1596,29;-31,72;12,35
TRE01;Gradiente;672,97;1603,08;-31,19;11,92
TRE01;Gradiente;880,52;1525,06;-22,28;19,44
TRE01;Gradiente;844,42;1538,62;-21,11;19,45
TRE01;Gradiente;835,4;1542,02;-20,85;19,41
TRE01;Gradiente;826,37;1545,41;-20,58;19,36
TRE01;Gradiente;817,35;1548,8;-20,32;19,3
TRE01;Gradiente;808,33;1552,19;-20,06;19,25
TRE01;Gradiente;871,49;1528,45;-21,98;19,52
TRE01;Gradiente;862,47;1531,84;-21,66;19,52
TRE01;Gradiente;853,44;1535,23;-21,38;19,49
TRE01;Gradiente;916,61;1511,49;-23,28;16,53
TRE01;Gradiente;790,28;1558,98;-19,58;19,06
TRE01;Gradiente;799,3;1555,59;-19,82;19,17
TRE01;Gradiente;835,4;1542,02;-35,99;19,15
TRE01;Gradiente;826,37;1545,41;-35,72;19,1
TRE01;Gradiente;817,35;1548,8;-35,47;19,02
TRE01;Gradiente;808,33;1552,19;-35,21;18,93
TRE01;Gradiente;799,3;1555,59;-34,96;18,81
TRE01;Gradiente;700,04;1592,9;-31,99;12,85
TRE01;Gradiente;853,44;1535,23;-36,52;19,26
TRE01;Gradiente;709,07;1589,51;-32,26;13,49
TRE01;Gradiente;790,28;1558,98;-34,71;18,64
TRE01;Gradiente;754,18;1572,55;-33,64;17,04
TRE01;Gradiente;745,16;1575,94;-33,35;16,43
TRE01;Gradiente;736,14;1579,33;-33,08;15,7
TRE01;Gradiente;727,11;1582,72;-32,8;14,82
TRE01;Gradiente;709,07;1589,51;9,35;15,31
TRE01;Gradiente;718,09;1586,12;-32,53;14,07
TRE01;Gradiente;772,23;1565,76;-34,18;18,05
TRE01;Gradiente;763,21;1569,15;-33,91;17,58
TRE01;Gradiente;880,52;1525,06;71,76;1,52
TRE01;Gradiente;681,99;1599,68;-48,01;12,19
TRE01;Gradiente;925,63;1508,09;76,66;36,56
TRE01;Gradiente;790,28;1558,98;39,34;20,66
TRE01;Gradiente;799,3;1555,59;39,05;18,55
TRE01;Gradiente;808,33;1552,19;38,72;16,9
TRE01;Gradiente;817,35;1548,8;38,34;16,17
TRE01;Gradiente;826,37;1545,41;37,9;16,03
TRE01;Gradiente;835,4;1542,02;37,5;15,93
TRE01;Gradiente;681,99;1599,68;41,97;15,85
TRE01;Gradiente;763,21;1569,15;81,93;8,66
TRE01;Gradiente;853,44;1535,23;37,05;18,4
TRE01;Gradiente;862,47;1531,84;37,05;19,25
TRE01;Gradiente;871,49;1528,45;36,95;19,58
TRE01;Gradiente;880,52;1525,06;36,66;19,62
TRE01;Gradiente;889,54;1521,66;36,4;18,47
TRE01;Gradiente;898,56;1518,27;36,15;16,27
TRE01;Gradiente;772,23;1565,76;39,88;23,61
TRE01;Gradiente;781,26;1562,37;39,62;22,55
TRE01;Gradiente;763,21;1569,15;40,15;23,81
TRE01;Gradiente;754,18;1572,55;40,4;23,08
TRE01;Gradiente;745,16;1575,94;40,62;22,79
TRE01;Gradiente;627,85;1620,04;43,8;12,78
TRE01;Gradiente;636,88;1616,65;43,39;11,05
TRE01;Gradiente;645,9;1613,25;43,02;10,72
TRE01;Gradiente;654,92;1609,86;42,67;10,88
TRE01;Gradiente;781,26;1562,37;57,79;18,83
TRE01;Gradiente;663,95;1606,47;42,37;11,69
TRE01;Gradiente;907,59;1514,88;35,9;13,81
TRE01;Gradiente;844,42;1538,62;37,23;16,75
TRE01;Gradiente;672,97;1603,08;42,15;13,3
TRE01;Gradiente;700,04;1592,9;41,72;21,53
TRE01;Gradiente;709,07;1589,51;41,53;22,75
TRE01;Gradiente;718,09;1586,12;41,29;22,85
TRE01;Gradiente;727,11;1582,72;41,05;22,66
TRE01;Gradiente;772,23;1565,76;58,05;23,11
TRE01;Gradiente;736,14;1579,33;40,84;22,0
TRE01;Gradiente;618,83;1623,43;44,21;14,44
TRE01;Gradiente;691,02;1596,29;41,84;18,91
TRE01;Gradiente;916,61;1511,49;35,64;11,87
TRE01;Gradiente;925,63;1508,09;35,36;10,98
TRE01;Gradiente;934,66;1504,7;35,06;10,81
TRE01;Gradiente;700,04;1592,9;31,88;18,04
TRE01;Gradiente;709,07;1589,51;31,65;19,79
TRE01;Gradiente;718,09;1586,12;31,4;20,82
TRE01;Gradiente;727,11;1582,72;31,15;21,47
TRE01;Gradiente;736,14;1579,33;30,91;21,97
TRE01;Gradiente;745,16;1575,94;30,67;22,67
TRE01;Gradiente;754,18;1572,55;30,41;22,94
TRE01;Gradiente;772,23;1565,76;29,86;22,98
TRE01;Gradiente;609,81;1626,82;44,56;15,67
TRE01;Gradiente;781,26;1562,37;29,59;22,11
TRE01;Gradiente;763,21;1569,15;58,28;24,9
TRE01;Gradiente;754,18;1572,55;58,45;23,26
TRE01;Gradiente;745,16;1575,94;58,55;21,66
TRE01;Gradiente;781,26;1562,37;48,98;21,96
TRE01;Gradiente;727,11;1582,72;58,78;20,42
TRE01;Gradiente;718,09;1586,12;58,96;23,2
TRE01;Gradiente;691,02;1596,29;32,05;15,79
TRE01;Gradiente;578,22;1638,69;35,61;14,51
TRE01;Gradiente;681,99;1599,68;32,22;13,67
TRE01;Gradiente;1047,45;1462,3;27,67;11,69
TRE01;Gradiente;943,68;1501,31;34,73;10,65
TRE01;Gradiente;952,7;1497,92;34,14;10,78
TRE01;Gradiente;961,73;1494,53;33,2;10,54
TRE01;Gradiente;975,26;1489,44;31,94;10,4
TRE01;Gradiente;993,31;1482,65;30,64;10,5
TRE01;Gradiente;1011,36;1475,87;29,49;10,93
TRE01;Gradiente;1029,41;1469,08;28,5;11,17
TRE01;Gradiente;709,07;1589,51;59,17;28,41
TRE01;Gradiente;663,95;1606,47;32,67;11,25
TRE01;Gradiente;596,27;1631,91;35,06;14,95
TRE01;Gradiente;609,81;1626,82;34,64;14,55
TRE01;Gradiente;618,83;1623,43;34,33;13,44
TRE01;Gradiente;627,85;1620,04;33,98;12,41
TRE01;Gradiente;636,88;1616,65;33,62;11,2
TRE01;Gradiente;645,9;1613,25;33,28;10,86
TRE01;Gradiente;654,92;1609,86;32,95;10,89
TRE01;Gradiente;672,97;1603,08;32,43;12,12
TRE01;Gradiente;763,21;1569,15;30,13;23,3
TRE01;Gradiente;596,27;1631,91;45,02;15,88
TRE01;Gradiente;943,68;1501,31;43,94;10,36
TRE01;Gradiente;578,22;1638,69;54,92;14,4
TRE01;Gradiente;560,18;1645,48;55,43;12,49
TRE01;Gradiente;533,1;1655,66;55,62;11,84
TRE01;Gradiente;1083,55;1448,73;42,8;13,62
TRE01;Gradiente;1065,5;1455,51;42,64;17,64
TRE01;Gradiente;1047,45;1462,3;43,15;17,5
TRE01;Gradiente;1029,41;1469,08;44,09;15,14
TRE01;Gradiente;700,04;1592,9;50,82;25,18
TRE01;Gradiente;1011,36;1475,87;45,24;14,54
TRE01;Gradiente;975,26;1489,44;48,31;13,21
TRE01;Gradiente;961,73;1494,53;50,08;12,92
TRE01;Gradiente;952,7;1497,92;51,57;11,88
TRE01;Gradiente;943,68;1501,31;52,53;10,56
TRE01;Gradiente;934,66;1504,7;52,99;9,62
TRE01;Gradiente;925,63;1508,09;53,38;8,99
TRE01;Gradiente;609,81;1626,82;53,78;16,96
TRE01;Gradiente;618,83;1623,43;53,36;15,73
TRE01;Gradiente;627,85;1620,04;52,88;13,22
TRE01;Gradiente;772,23;1565,76;49,25;24,34
TRE01;Gradiente;745,16;1575,94;88,4;9,6
TRE01;Gradiente;763,21;1569,15;49,5;24,43
TRE01;Gradiente;754,18;1572,55;49,72;23,16
TRE01;Gradiente;745,16;1575,94;49,89;22,33
TRE01;Gradiente;736,14;1579,33;50,05;21,64
TRE01;Gradiente;727,11;1582,72;50,23;22,78
TRE01;Gradiente;718,09;1586,12;50,45;23,49
TRE01;Gradiente;596,27;1631,91;54,29;17,04
TRE01;Gradiente;916,61;1511,49;53,78;8,96
TRE01;Gradiente;691,02;1596,29;50,88;22,94
TRE01;Gradiente;681,99;1599,68;50,95;19,22
TRE01;Gradiente;672,97;1603,08;51,1;15,53
TRE01;Gradiente;663,95;1606,47;51,3;12,81
TRE01;Gradiente;654,92;1609,86;51,61;10,89
TRE01;Gradiente;645,9;1613,25;51,99;10,25
TRE01;Gradiente;636,88;1616,65;52,41;10,63
TRE01;Gradiente;709,07;1589,51;50,67;25,32
TRE01;Gradiente;993,31;1482,65;46,65;14,14
TRE01;Gradiente;907,59;1514,88;54,16;9,29
TRE01;Gradiente;898,56;1518,27;54,49;9,47
TRE01;Gradiente;952,7;1497,92;43,19;10,8
TRE01;Gradiente;880,52;1525,06;46,11;16,45
TRE01;Gradiente;889,54;1521,66;45,85;14,94
TRE01;Gradiente;898,56;1518,27;45,58;12,91
TRE01;Gradiente;916,61;1511,49;45,0;9,9
TRE01;Gradiente;925,63;1508,09;44,66;9,66
TRE01;Gradiente;934,66;1504,7;44,33;9,76
TRE01;Gradiente;862,47;1531,84;46,25;16,98
TRE01;Gradiente;578,22;1638,69;45,6;14,47
TRE01;Gradiente;961,73;1494,53;42,0;11,05
TRE01;Gradiente;975,26;1489,44;40,51;11,12
TRE01;Gradiente;993,31;1482,65;39,03;11,84
TRE01;Gradiente;1011,36;1475,87;37,75;12,5
TRE01;Gradiente;1029,41;1469,08;36,69;13,13
TRE01;Gradiente;1047,45;1462,3;35,8;14,16
TRE01;Gradiente;1065,5;1455,51;35,29;13,59
TRE01;Gradiente;871,49;1528,45;46,35;17,45
TRE01;Gradiente;808,33;1552,19;56,55;11,46
TRE01;Gradiente;560,18;1645,48;46,12;13,14
TRE01;Gradiente;835,4;1542,02;46,51;12,71
TRE01;Gradiente;889,54;1521,66;54,78;10,49
TRE01;Gradiente;880,52;1525,06;55,05;10,65
TRE01;Gradiente;871,49;1528,45;55,19;13,4
TRE01;Gradiente;862,47;1531,84;54,83;14,5
TRE01;Gradiente;853,44;1535,23;54,46;13,92
TRE01;Gradiente;844,42;1538,62;54,54;12,03
TRE01;Gradiente;835,4;1542,02;54,83;11,02
TRE01;Gradiente;817,35;1548,8;56,01;10,94
TRE01;Gradiente;826,37;1545,41;55,37;10,84
TRE01;Gradiente;853,44;1535,23;46,09;16,16
TRE01;Gradiente;799,3;1555,59;57,05;12,92
